iter	Logloss
0	0.6686956845
1	0.6451019913
2	0.6236385516
3	0.6060320515
4	0.5890772109
5	0.5742479859
6	0.5615442621
7	0.5498518197
8	0.5387077905
9	0.5294618922
10	0.519018209
11	0.5108328052
12	0.5030860205
13	0.4956668053
14	0.4866372809
15	0.4756853746
16	0.4694088315
17	0.4633937808
18	0.4576836757
19	0.4522137729
20	0.4432933197
21	0.4397672247
22	0.434859137
23	0.4317002832
24	0.4276150315
25	0.4153283028
26	0.4117757823
27	0.4085884316
28	0.4004126432
29	0.3947403119
30	0.392619245
31	0.3907964111
32	0.3886907256
33	0.3803928326
34	0.3781382788
35	0.3737297788
36	0.3725492569
37	0.3697814617
38	0.3636797915
39	0.359791719
40	0.3577131834
41	0.3566137308
42	0.35275253
43	0.350983123
44	0.3491908059
45	0.3474685507
46	0.3466045557
47	0.3443011747
48	0.3396258792
49	0.3383753997
50	0.3376651123
51	0.3363704297
52	0.3345350094
53	0.3329838187
54	0.3287026461
55	0.3261919882
56	0.3251452571
57	0.3217739671
58	0.3203008222
59	0.3192005006
60	0.3160056084
61	0.315402695
62	0.3144818039
63	0.3132954681
64	0.3101412235
65	0.3095369953
66	0.3080844317
67	0.3066699348
68	0.3050993589
69	0.3042930921
70	0.3038309409
71	0.3033009308
72	0.2995076562
73	0.2987294935
74	0.2977030177
75	0.2965841095
76	0.2958338372
77	0.2954891541
78	0.2951067718
79	0.2939935949
80	0.2931888397
81	0.2928736713
82	0.2925195139
83	0.2921785894
84	0.2911648784
85	0.290719809
86	0.2893212561
87	0.2873096714
88	0.286822232
89	0.2860678991
90	0.2858347131
91	0.2854664733
92	0.2846031386
93	0.2838542481
94	0.2832336686
95	0.2829646404
96	0.2822400286
97	0.2820290416
98	0.281793094
99	0.2811225531
100	0.2806706415
101	0.2800616117
102	0.2795024694
103	0.2792511743
104	0.2789136294
105	0.2785290855
106	0.2783342798
107	0.2779824458
108	0.2777363141
109	0.277542175
110	0.2773580702
111	0.276759551
112	0.2764660355
113	0.2753592197
114	0.2751816897
115	0.2749708225
116	0.2748342679
117	0.2746581327
118	0.2742193522
119	0.2741015202
120	0.2735178418
121	0.2732907321
122	0.2727045236
123	0.2721450135
124	0.2714315095
125	0.2709307151
126	0.270366056
127	0.2699841977
128	0.2691673381
129	0.2688997984
130	0.2687146165
131	0.2684774595
132	0.2665269699
133	0.2662481691
134	0.2658511041
135	0.2656610747
136	0.2653082302
137	0.2644104637
138	0.2636452455
139	0.2633191775
140	0.2631154862
141	0.2628377009
142	0.2624832176
143	0.2623678787
144	0.2620969712
145	0.2619106576
146	0.2615315748
147	0.2612175931
148	0.2609033735
149	0.2605409446
150	0.2600029947
151	0.259613836
152	0.2594458041
153	0.2590950971
154	0.2588698898
155	0.2586516203
156	0.2585429804
157	0.2582480034
158	0.2581159679
159	0.2579509593
160	0.2578043917
161	0.2567504438
162	0.2566281002
163	0.2564675144
